1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
868	-0.227826	-0.227826	-0.390420	39.415557	0.066779	1.823393	2.287424	0.082908	14.6	2.1	22.4
869	-0.224872	-0.224872	-0.385654	40.415460	0.065692	2.633117	1.447577	0.120525	2.6	1.6	10.2
870	-0.221012	-0.221012	-0.386795	39.512475	0.066672	3.383202	1.644492	0.163805	6.4	5.8	17.3
871	-0.223449	-0.223449	-0.383757	38.612988	0.067678	2.038962	1.940875	0.089182	10.3	1.7	18.4
872	-0.222078	-0.222078	-0.383098	39.612988	0.066562	2.068401	3.173354	0.091412	3.2	5.1	14.2
873	-0.218696	-0.218696	-0.411012	40.609794	0.065485	2.696403	1.747599	0.115663	7.2	3.3	17.4
874	-0.224898	-0.224898	-0.402443	39.704715	0.066461	3.419204	1.480549	0.150339	3.5	1.5	11.2
875	-0.216442	-0.216442	-0.386604	38.973763	0.067271	1.765269	2.114003	0.070954	7.4	2.2	15.9
876	-0.227707	-0.227707	-0.375985	39.903076	0.066245	3.095825	2.927426	0.144211	3.1	1.7	10.7
877	-0.216791	-0.216791	-0.388124	40.150910	0.065976	1.346636	2.773137	0.068695	12.0	1.4	18.9
878	-0.217617	-0.217617	-0.382937	41.150910	0.064915	2.302724	1.522482	0.105738	2.8	1.5	8.4
879	-0.237365	-0.237365	-0.391101	40.774157	0.065310	3.521401	1.308652	0.191675	2.8	6.3	14.3
880	-0.216405	-0.216405	-0.381758	39.869037	0.066282	2.372942	2.400531	0.096651	2.6	1.4	9.9
881	-0.216716	-0.216716	-0.396401	40.868506	0.065211	1.608365	2.445442	0.061048	3.0	1.6	9.4
882	-0.210820	-0.210820	-0.372052	39.965767	0.066176	4.090398	2.167547	0.193989	8.9	1.8	16.2
883	-0.225044	-0.225044	-0.387748	40.743243	0.065343	2.848318	1.531536	0.131981	2.9	1.6	10.4
884	-0.226338	-0.226338	-0.407721	39.838123	0.066315	3.200944	2.795238	0.142883	13.0	1.9	20.7
885	-0.216944	-0.216944	-0.359278	38.964234	0.067282	1.658361	1.896874	0.069720	8.8	1.7	16.3
886	-0.227451	-0.227451	-0.404479	39.964232	0.066178	2.782846	2.692567	0.138647	3.8	1.7	10.6
887	-0.226137	-0.226137	-0.386667	40.849348	0.065231	2.491730	1.252818	0.110488	2.7	8.2	16.8
888	-0.222211	-0.222211	-0.376116	39.944242	0.066200	1.763546	3.013023	0.076955	3.5	1.7	13.0
889	-0.203698	-0.203698	-0.381633	40.940002	0.065136	3.175056	2.390805	0.148521	6.9	2.0	14.1
890	-0.223511	-0.223511	-0.406236	41.937440	0.064103	3.393936	1.498167	0.143262	3.0	1.9	11.0
891	-0.215696	-0.215696	-0.344835	42.937440	0.063101	3.616267	2.927672	0.153251	3.4	7.5	16.7
892	-0.217435	-0.217435	-0.391750	43.937437	0.062129	1.992076	1.983523	0.107576	3.1	2.2	11.0
893	-0.219490	-0.219490	-0.395357	44.936789	0.061187	4.559870	2.471970	0.209591	7.1	1.6	14.3
894	-0.236189	-0.236189	-0.404355	44.031967	0.062039	2.232988	1.812395	0.153733	2.7	1.6	9.9
895	-0.217541	-0.217541	-0.373112	45.031967	0.061099	2.858806	1.728678	0.113964	6.7	1.7	14.0
896	-0.217701	-0.217701	-0.397099	44.126847	0.061948	3.288572	3.399492	0.156814	3.4	1.5	11.2
897	-0.239470	-0.239470	-0.404260	45.126847	0.061011	3.349375	1.607714	0.142644	3.2	1.9	8.9
898	-0.223800	-0.223800	-0.404108	46.125329	0.060104	2.171741	2.193911	0.087949	7.4	1.4	14.7
899	-0.215092	-0.215092	-0.369956	45.220211	0.060925	2.030139	1.563452	0.100886	3.2	1.4	10.4
900	-0.226794	-0.226794	-0.376325	46.217588	0.060021	3.142186	2.040938	0.131561	5.5	6.8	17.8
901	-0.201250	-0.201250	-0.361237	45.313397	0.060840	2.280187	2.608261	0.120027	2.9	1.7	10.1
902	-0.223621	-0.223621	-0.383634	44.408334	0.061682	2.820139	3.180376	0.121379	7.0	1.6	13.7
903	-0.210333	-0.210333	-0.392113	44.652774	0.061452	2.602797	3.333167	0.118022	4.4	2.4	12.4
904	-0.222628	-0.222628	-0.380164	43.883073	0.062181	2.470025	2.116450	0.095161	3.1	1.8	10.4
905	-0.225792	-0.225792	-0.395425	42.977973	0.063061	3.556229	1.561746	0.137861	2.8	1.6	9.6
906	-0.217716	-0.217716	-0.365807	42.072944	0.063966	3.498260	2.452204	0.141719	10.3	1.5	17.6
907	-0.224270	-0.224270	-0.370139	41.168301	0.064896	3.154043	2.202231	0.135920	2.8	1.9	10.2
908	-0.225905	-0.225905	-0.377390	40.573184	0.065524	2.311808	2.117793	0.161193	3.4	1.5	10.6
909	-0.221954	-0.221954	-0.387647	39.671700	0.066497	2.769949	2.264822	0.177881	12.6	1.7	21.7
910	-0.216542	-0.216542	-0.392465	38.766582	0.067504	2.733182	1.859984	0.170682	2.9	1.5	12.4
911	-0.220829	-0.220829	-0.373209	37.861462	0.068542	3.739669	2.429164	0.159229	4.6	1.5	11.8
912	-0.224177	-0.224177	-0.381506	36.956342	0.069613	1.046738	2.117189	0.080275	3.4	1.9	11.1
913	-0.226070	-0.226070	-0.391886	36.051371	0.070717	2.497867	1.373071	0.137263	9.4	1.9	17.2
914	-0.220990	-0.220990	-0.378368	36.876999	0.069708	2.403686	1.231223	0.097546	3.5	2.0	11.4
915	-0.233081	-0.233081	-0.383638	35.971879	0.070816	3.973451	1.359243	0.164819	12.5	2.0	20.3
916	-0.225395	-0.225395	-0.379988	36.971877	0.069594	3.226732	1.826581	0.123870	2.8	1.5	10.2
917	-0.213365	-0.213365	-0.361416	37.971877	0.068414	2.989056	1.637168	0.150784	7.6	1.6	14.8
918	-0.227683	-0.227683	-0.375704	37.066758	0.069480	2.433808	2.042513	0.171123	3.0	1.8	10.6
919	-0.222366	-0.222366	-0.401519	36.161639	0.070580	1.716655	1.849456	0.115736	7.5	6.2	18.8
920	-0.207624	-0.207624	-0.357888	35.256542	0.071716	2.020166	1.809440	0.078935	10.9	1.7	18.3
921	-0.234935	-0.234935	-0.393706	35.327564	0.071626	2.565562	1.740294	0.107226	2.8	1.7	10.3
922	-0.241652	-0.241652	-0.393385	34.422460	0.072795	1.449893	2.238328	0.148361	6.7	1.7	14.1
923	-0.218629	-0.218629	-0.389670	33.517350	0.074004	1.888678	2.038849	0.083719	4.9	1.7	14.7
924	-0.216619	-0.216619	-0.379214	34.504241	0.072688	2.307663	3.368020	0.115867	11.9	3.2	20.7
925	-0.210922	-0.210922	-0.380316	35.504194	0.071402	3.177103	2.889766	0.151753	3.2	1.6	10.7
926	-0.223936	-0.223936	-0.389957	34.599073	0.072564	2.963777	2.869497	0.128905	10.1	1.4	19.2
927	-0.228422	-0.228422	-0.372822	34.257961	0.073012	2.167068	2.016094	0.112405	3.2	7.9	17.8
